Name,Synergies,Counters,Countered_By,Tags,Anti-Synergy,Global Notes,
Felicity,None,"Multi-Attacker,Dispell,DoT",Debuff Reflection,Debuff,"Buff,Shield",,
Lady Deadfire,Burst_Assassin,Field Hit_Squishy,Wukong,Debuff,,,
Shougong Lei,Justice,Tank,Wukong,Debuff,,,
Tiger Boy,"Niels,Gang",None,"Wukong,Palulu",Debuff,,,
BaJie,"Acedia,Dylan,Gillis,Gold Generation",None,"Bart,Crit Immunity","Crit,Gold Funnel,Gold Generation",,,
Bart,None,Physical_Assassin,"Magic Damage,Manta","Crit Immunity,Tank,Thorn",,,
Bariel,"Shield,Palulu",Assassin,"Bart,Crit Immunity",Crit,,,
Hass,None,"Shield,Temp Buff",None,Buff Stealing,,,
Kid,Tank,Attrition,"Hass,High Damage,Tank","Bounty,Gold Generation",,,
Enidi,"Bunu Shan,Niels","Deep Space,AoE",None,"Bounty,Field,Squishy",,,
Charon,Assassin,Burst_Assassin,None,Bounty,,,
Gillis,Gold Funnel,Round 1 Damage,"Acedia,Hass,True Damage","Assassin,Tank",,,
Raven,Movement,Solo_Squishy,"Armour,Skirmisher,Initiator","Assassin,Crit,Skirmisher",,,
Beverly,"Zealot,Kamaitachi",None,None,"AP Buff,Max Health Buff,Search",,,
Matata,Raven,None,None,Tank,,,
Ada,Skirmisher,None,"Gillis,Anna,Wukong","ADC,Skirmisher",,,
Elemi,None,None,Multi-Attacker,"ADC,Multi-Attacker",,,
Omaha,Skirmisher,None,"AoE,Xiangxi Ke","ADC,Summon",,,
Quinn,None,None,Bart,"ADC,Crit",,,
Foso,Shield,"Skirmisher,Summon",Hass,"AoE,Mage",,,
Dylan,"Search,Funnel",None,None,"Support,Buff",,,
Fatty White,None,"Targeting_Assassin,Debuff",Multi-Attacker,"Armour,Tank,Dispell",,,
Paisai,"Multi-Attacker,Merisi",None,Assassin,"Support,AP Buff",,,
Peiniang Zhu,"Multi-Attacker,AoE",None,"Wukong,Blocker","Support,AP Buff",,,
Anna,Skirmisher,"Skirmisher,Armour,Round 1 Damage,One Slap Chap",None,"Support,Skirmisher",,,
